timestamp,edges_intersection_rate,lci_intersection_rate,median_intersection_rate,uci_intersection_rate,matched_paths,total_paths
20190121,0.9616427859934105,0.8790028740329083,0.9616427859934105,1.0,728.5,742.0
20190123,0.9900243793223543,0.9280804818435754,0.9900243793223543,1.0,687.5,696.0
20190128,0.8006549883833143,0.586115929346439,0.8006549883833143,0.9461991643454039,610.0,748.5
20190129,0.9686137214559283,0.7655307891959728,0.9686137214559283,0.999294205052006,675.5,701.5
20190130,0.8536421911421912,0.614941981677447,0.8536421911421912,0.9746365125049621,592.0,687.0
20190220,0.7777648047158663,0.5308139939580405,0.7777648047158663,0.9237340619307832,422.0,574.5
20190225,0.8482654517170408,0.7475730652326398,0.8482654517170408,0.9309459805427547,1431.5,1723.5
20190226,0.9655817976671679,0.894140483249989,0.9655817976671679,1.0,1903.0,1954.5
20190227,0.8871425723144198,0.8054054676820466,0.8871425723144198,0.9632397785612667,1769.5,2000.5
20190228,0.963580429374045,0.8964884448860608,0.963580429374045,1.0,1939.0,2036.5
20190303,0.7343565329201944,0.6378882423415159,0.7343565329201944,0.8324888953544758,1734.5,2323.5
20190304,0.7421875310570735,0.6391804857356645,0.7421875310570735,0.8437947356966675,2010.0,2664.0
20190306,0.8510758504994165,0.7629475144560763,0.8510758504994165,0.93712053497861,2361.0,2767.0
20190311,0.8520063759776191,0.7688574696562177,0.8520063759776191,0.9134529389616662,2409.0,2882.0
20190312,0.9784227727447103,0.9313521364438547,0.9784227727447103,1.0,2664.5,2756.0
20190313,0.9628292209440767,0.9046853691901464,0.9628292209440767,0.9983253346946446,2673.0,2800.0
20190314,0.8054263006562357,0.7085665616866565,0.8054263006562357,0.8806645825793378,2214.5,2743.5
20190317,0.5866459404031727,0.4718054231717338,0.5866459404031727,0.6879897908327868,1620.0,2739.0
20190318,0.6152368817497598,0.5207043422300501,0.6152368817497598,0.7407549770989171,1592.0,2569.5
20190428,0.7418339387186978,0.6322540941504132,0.7418339387186978,0.863221693407598,1842.5,2498.0
20190429,0.8818946770623448,0.8244553535652406,0.8818946770623448,0.9372511558726949,2616.0,2987.0
20190501,0.9664394618719763,0.9062763706565327,0.9664394618719763,0.9980793694987612,2843.0,2949.5
20190506,0.8739818346957311,0.7833608994607687,0.8739818346957311,0.9451250674967369,2558.0,2965.5
20190507,0.9616294576601789,0.9074585664436262,0.9616294576601789,1.0,2644.5,2755.0
20190508,0.8995562382659157,0.8060367355688333,0.8995562382659157,0.949798666818297,2446.5,2768.0
20190509,0.782090933121861,0.6959088110571161,0.782090933121861,0.8636834796538237,2148.5,2717.5
20190617,0.3885012583249427,0.28676163928393983,0.3885012583249427,0.5163977971765615,1037.5,2647.0
20190618,0.9835825145782161,0.9339442985467494,0.9835825145782161,0.9994749512657728,2849.5,2920.0
20190619,0.9900702131138621,0.9421475800417757,0.9900702131138621,1.0,2869.5,2906.5
20190620,0.9873082928112449,0.9204551661103163,0.9873082928112449,1.0,2851.5,2885.5
20190623,0.6705384327055911,0.5600152623234501,0.6705384327055911,0.7569686205562732,1894.0,2891.0
20190624,0.7827507935102872,0.6977161672065898,0.7827507935102872,0.8779612663657342,2178.0,2758.5
20190626,0.8315018265207419,0.7184118421052632,0.8315018265207419,0.8952935457259584,2281.5,2734.5
20190715,0.7286646035506921,0.5926189070300751,0.7286646035506921,0.8535645613356174,1937.0,2693.5
20190716,0.9871182709188939,0.9267214751481069,0.9871182709188939,1.0,2747.5,2813.0
